"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","November 18, 2015 Wednesday","","Paris Aftermath: American Responses","629 words","The New York Times","Section A; Column 0; Editorial Desk; LETTERS; Pg. 26","",
"By ANDREW HIGGINS and KIMIKO DE FREYTAS-TAMURA; Rukmini Callimachi and Milan Schreuer contributed reporting.","November 18, 2015 Wednesday","","An ISIS Fighter With Family in Belgium Who Wanted Him Dead","1446 words","The New York Times","Section A; Column 0; Foreign Desk; THE CHIEF SUSPECT; Pg. 13","",
"By JIM DWYER. Email: dwyer@nytimes.com Twitter: @jimdwyernyt","November 18, 2015 Wednesday","","A Hardware Store Welcomes Refugees as Governors Vow to Shut Them Out","768 words","The New York Times","Section A; Column 0; Metropolitan Desk; ABOUT NEW YORK; Pg. 21","",
"By RANDY KENNEDY","November 18, 2015 Wednesday","","Mellon Foundation Grant for Photography Center","278 words","The New York Times","Section C; Column 0; The Arts/Cultural Desk; ARTSBEAT; Pg. 3","",
"By TIM ARANGO; Reporting was contributed by Scott Shane from Washington, Alissa J. Rubin and Rukmini Callimachi from Paris; Andrew E. Kramer from Moscow; David D. Kirkpatrick from London; Isabel Kershner from Jerusalem; Laurie Goodstein from New York; and Thomas Erdbrink from Tehran.","November 18, 2015 Wednesday","","Envisioning How the Global Powers Can Smash a Brutal Enemy","2002 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 1","",
"By LIZ ALDERMAN","November 18, 2015 Wednesday","","French Crowd Cafes to Defy Terror With a Sip of Wine","1044 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 12","",
"By TRIP GABRIEL; Mark Mazzetti contributed reporting.","November 18, 2015 Wednesday","","Aides Agree: Carson Struggles on Foreign Policy","1336 words","The New York Times","Section A; Column 0; National Desk; Pg. 1","",
"By AMY CHOZICK","November 18, 2015 Wednesday","","Attacks Complicate Clinton Campaign's Alignment With Obama","1201 words","The New York Times","Section A; Column 0; National Desk; Pg. 18","",
"By DAVID M. HERSZENHORN and MICHAEL D. SHEAR; David M. Herszenhorn reported from Washington, and Michael D. Shear from Manila. Jennifer Steinhauer and Eric Lichtblau contributed reporting from Washington.","November 18, 2015 Wednesday","","Republicans Want to Suspend Program Accepting Syrian Refugees","902 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 15","",
"By JULIE HIRSCHFELD DAVIS","November 18, 2015 Wednesday","","Cease-Fire and Political Transition in Syria Crucial to Defeating ISIS, Kerry Says","601 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"By THOMAS L. FRIEDMAN","November 18, 2015 Wednesday","","Cabs, Camels or ISIS","879 words","The New York Times","Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 27","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: Russia and the United States Should Join Forces","160 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: Counter Recruitment of Young People","174 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: Use Arab Armies to Fight the Group","339 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: Reform Islamic Teaching","303 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: First Deal With Assad","232 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"","November 18, 2015 Wednesday","","How to Beat ISIS: Destroy the Group's Economy","506 words","The New York Times","Section ; Column 0; Foreign Desk; Pg. ","",
"By DAVE ITZKOFF; Jeremy Egner contributed reporting.","November 18, 2015 Wednesday","","Stephen Colbert, Jimmy Fallon and Other Late-Night Hosts Respond to the Paris Attacks","1595 words","The New York Times","Section ; Column 0; The Arts/Cultural Desk; Pg. ","",
"By AURELIEN BREEDEN, LIZ ALDERMAN and KATRIN BENNHOLD; Aurelien Breeden and Liz Alderman reported from Paris, and Katrin Bennhold from London. Reporting was contributed by Julie Hirschfeld Davis from Paris; Kimiko de Freytas-Tamura, James Kanter and Milan Schreuer from Brussels; Eric Schmitt from Washington; Alison Smale from Berlin; and Neil MacFarquhar from Moscow.","November 18, 2015 Wednesday","","Raid Near Paris Erupts in Gunfire as Police Move In","1603 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 1","",
"By NEIL MacFARQUHAR; Reporting was contributed by Kareem Fahim and Merna Thomas from Cairo, Eric Schmitt from Washington, Michael D. Shear from Manila, Aurelien Breeden from Paris, and Anne Barnard and Hwaida Saad from Beirut, Lebanon.","November 18, 2015 Wednesday","","Russia Allies With France Against ISIS","1230 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 1","",
"By ANNE BARNARD; Reporting was contributed by Hwaida Saad in Beirut.","November 18, 2015 Wednesday","","Questions After Strikes on Stronghold in Syria","1439 words","The New York Times","Section A; Column 0; Foreign Desk; Pg. 15","",
"By ABDELLAH TAÏA. Abdellah Taïa is the author of the novels ''An Arab Melancholia'' and the forthcoming ''Infidels.'' This essay was translated by Edward Gauvin from the French.","November 18, 2015 Wednesday","","Is Any Place Safe?","761 words","The New York Times","Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 27","",
"By THE EDITORIAL BOARD","November 18, 2015 Wednesday","","What It Will Take to Fight ISIS","845 words","The New York Times","Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 26","",
"ASHLEY PARKER","November 18, 2015 Wednesday","","Jeb Bush Cites Paris Attacks in Calling for Stronger Military","515 words","The New York Times Blogs(First Draft)","US; politics","",
"","November 18, 2015 Wednesday","","Europe's Refugee Problem, and Ours","1578 words","The New York Times Blogs(Ross Douthat)","OPINION","",
"EMMARIE HUETTEMAN and MATT FLEGENHEIMER","November 18, 2015 Wednesday","","Ted Cruz Challenges President Obama to Debate on Syrian Refugees","390 words","The New York Times Blogs(First Draft)","US; politics","",
"ASHLEY PARKER","November 18, 2015 Wednesday","","Jeb Bush Calls for Global Coalition and U.S. Ground Troops to Fight ISIS","766 words","The New York Times Blogs(First Draft)","US; politics","",
"ALAN RAPPEPORT","November 18, 2015 Wednesday","","Donald Trump Runs Radio Ads Criticizing Obama on Paris Attacks","365 words","The New York Times Blogs(First Draft)","US; politics","",
"FRANCIS X. CLINES","November 18, 2015 Wednesday","","The Real Terror Threat Congress Should Confront","423 words","The New York Times Blogs(Taking Note)","OPINION","",
"TRIP GABRIEL","November 18, 2015 Wednesday","","Adviser Who Questioned Ben Carson's Grasp of Mideast Is Consulted for Op-Ed Piece","569 words","The New York Times Blogs(First Draft)","US; politics","",
"TRIP GABRIEL","November 18, 2015 Wednesday","","Ad Supporting John Kasich Derides Rivals' Experience","297 words","The New York Times Blogs(First Draft)","US; politics","",
